Country,ShortName,Jersey,Position,PLAYER,Name,LastName,NameOnShirt,BirhtDate,CLUB,ClubCountry,HEIGHT,Apperances,GOALS
Uruguay,URU,14,MF,TORREIRA Lucas,Lucas Sebastian,TORREIRA DI PASCUA,L. TORREIRA,1996-11-02,Galatasaray SK,TUR,168,40,0
Uruguay,URU,15,MF,VALVERDE Federico,Federico Santiago,VALVERDE DIPETTA,F. VALVERDE,1998-07-22,Real Madrid CF,ESP,182,44,4
Uruguay,URU,16,DF,OLIVERA Mathias,Mathias,OLIVERA MIRAMONTES,M. OLIVERA,1997-10-31,SSC Napoli,ITA,174,8,0
Uruguay,URU,17,DF,VINA Matias,Matias Nicolas,VIÑA SUSPERREGUY,M. VIÑA,1997-09-11,AS Roma,ITA,180,26,0
Uruguay,URU,18,FW,GOMEZ Maxi,Maximiliano,GÔMEZ GONZÁLEZ,M. GÔMEZ,1996-08-14,Trabzonspor,TUR,186,27,4
Uruguay,URU,19,DF,COATES Sebastian,Sebastián,COATES NION,S. COATES,1990-07-10,Sporting CP,POR,196,47,1
Uruguay,URU,20,FW,TORRES Facundo,Facundo Daniel,TORRES PEREZ,F. TORRES,2000-04-13,Orlando City SC,USA,175,10,0
Uruguay,URU,21,FW,CAVANI Edinson,Edinson Roberto,CAVANI GOMEZ,E. CAVANI,1987-02-14,Valencia CF,ESP,188,133,58
Uruguay,URU,22,DF,CACERES Martin,José Martín,CÁCERES SILVA,M. CÁCERES,1987-07-04,LA Galaxy,USA,178,115,4
Uruguay,URU,23,GK,ROCHET Sergio,Sergio Ramón,ROCHET ALVAREZ,S. ROCHET,1993-03-23,Club Nacional,URU,189,8,0
Uruguay,URU,24,MF,CANOBBIO Agustin,Agustin,CANOBBIO GRAVIZ,A. CANOBBIO,1998-01-10,Athletico Paranaense,BRA,175,3,0
Uruguay,URU,25,MF,UGARTE Manuel,Manuel,UGARTE RIBEIRO,M. UGARTE,2001-11-04,Sporting CP,POR,182,6,0
Uruguay,URU,26,DF,RODRIGUEZ Jose Luis,Jose Luis,RODRIGUEZ BEBANZ,J. L. RODRIGUEZ,1997-03-14,Club Nacional,URU,183,0,0
USA,USA,1,GK,TURNER Matt,Matthew Charles,TURNER,TURNER,1994-06-24,Arsenal FC,ENG,190,19,0
USA,USA,2,DF,DEST Sergino,Sergino Gianni,DEST,DEST,2000-03-11,AC Milan,ITA,173,19,2
USA,USA,3,DF,ZIMMERMAN Walker,Walker Dwain,ZIMMERMAN,ZIMMERMAN,1993-05-19,Nashville Soccer Club,USA,190,32,3
USA,USA,4,MF,ADAMS Tyler,Tyler Shaan,ADAMS,ADAMS,1999-02-14,Leeds United FC,ENG,175,32,1
USA,USA,5,DF,ROBINSON Antonee,Antonee,ROBINSON,ROBINSON,1997-08-08,Fulham FC,ENG,182,29,2
USA,USA,6,MF,MUSAH Yunus,Yunus Dimoara,MUSAH,MUSAH,2002-11-29,Valencia CF,ESP,177,19,0
USA,USA,7,FW,REYNA Giovanni,Giovanni Alejandro,REYNA,REYNA,2002-11-13,Borussia Dortmund,GER,185,14,4
USA,USA,8,MF,McKENNIE Weston,Weston James Earl,MCKENNIE,MCKENNIE,1998-08-28,Juventus FC,ITA,185,37,9
USA,USA,9,FW,FERREIRA Jesus,Jesus David,FERREIRA CASTRO,FERREIRA,2000-12-24,FC Dallas,USA,175,15,7
USA,USA,10,FW,PULISIC Christian,Christian Mate,PULISIC,PULISIC,1998-09-18,Chelsea FC,ENG,179,52,21
USA,USA,11,FW,AARONSON Brenden,Brenden Russell,AARONSON,AARONSON,2000-10-22,Leeds United FC,ENG,177,24,6
USA,USA,12,GK,HORVATH Ethan,Ethan Shea,HORVATH,HORVATH,1995-09-06,Luton Town FC,ENG,193,8,0
USA,USA,13,DF,REAM Tim,Timothy Michael,REAM,REAM,1987-05-10,Fulham FC,ENG,185,46,1
USA,USA,14,MF,DE LA TORRE Luca,Lucas Daniel,DE LA TORRE,DE LA TORRE,1998-05-23,RC Celta Vigo,ESP,178,12,0
USA,USA,15,DF,LONG Aaron,Aaron Ray,LONG,LONG,1992-12-10,New York Red Bulls,USA,188,29,3
USA,USA,16,FW,MORRIS Jordan,Jordan Perry,MORRIS,MORRIS,1994-10-26,Seattle Sounders FC,USA,183,48,9
USA,USA,17,MF,ROLDAN Cristian,Cristian,ROLDAN,ROLDAN,1995-03-06,Seattle Sounders FC,USA,172,30,0
USA,USA,18,DF,MOORE Shaq,Shaquell Kwame,MOORE,MOORE,1996-02-11,Nashville Soccer Club,USA,180,14,1
USA,USA,19,FW,WRIGHT Haji,Haji Amir,WRIGHT,WRIGHT,1998-03-27,Antalyaspor AS,TUR,191,3,1
USA,USA,20,DF,CARTER-VICKERS Cameron,Cameron Robert,CARTER-VICKERS,CARTER-VICKERS,1997-12-31,Celtic FC,SCO,185,11,0
USA,USA,21,FW,WEAH Timothy,Timothy Tarpeh,WEAH,WEAH,2000-02-22,Lille OSC,FRA,182,25,3
USA,USA,22,DF,YEDLIN DeAndre,De Andre Roselle,YEDLIN,YEDLIN,1993-09-07,Inter Miami FC,USA,171,75,0
USA,USA,23,MF,ACOSTA Kellyn,Kellyn Kai,PERRY-ACOSTA,ACOSTA,1995-07-24,Los Angeles FC,USA,177,51,2
USA,USA,24,FW,SARGENT Josh,Joshua Thomas,SARGENT,SARGENT,2000-02-20,Norwich City FC,ENG,185,20,5
USA,USA,25,GK,JOHNSON Sean,Sean Everet,JOHNSON,JOHNSON,1989-05-31,New York City FC,USA,190,10,0
USA,USA,26,DF,SCALLY Joe,Joseph Michael,SCALLY,SCALLY,2002-12-31,VfL Borussia MÃ¶nchengladbach,GER,184,3,0
Wales,WAL,1,GK,HENNESSEY Wayne,Wayne Robert,HENNESSEY,HENNESSEY,1987-01-24,Nottingham Forest FC,ENG,198,106,0
Wales,WAL,2,DF,GUNTER Chris,Christopher Ross,GUNTER,GUNTER,1989-07-21,AFC Wimbledon,ENG,180,109,0
Wales,WAL,3,DF,WILLIAMS Neco,Neco Shay,WILLIAMS,N WILLIAMS,2001-04-13,Nottingham Forest FC,ENG,183,23,2
Wales,WAL,4,DF,DAVIES Ben,Benjamin,THOMAS DAVIES,B DAVIES,1993-04-24,Tottenham Hotspur FC,ENG,181,74,1
Wales,WAL,5,DF,MEPHAM Chris,Christopher James,MEPHAM,MEPHAM,1997-05-11,Bournemouth AFC,ENG,190,33,0
Wales,WAL,6,DF,RODON Joe,Joseph Peter,RODON,RODON,1997-10-22,Stade Rennais FC,FRA,193,30,0
Wales,WAL,7,MF,ALLEN Joe,Joseph Michael,ALLEN,ALLEN,1990-03-14,Swansea City AFC,WAL,170,72,2
Wales,WAL,8,MF,WILSON Harry,Harry,WILSON,WILSON,1997-03-22,Fulham FC,ENG,173,39,5
Wales,WAL,9,FW,JOHNSON Brennan,Brennan Price,JOHNSON,JOHNSON,2001-05-23,Nottingham Forest FC,ENG,179,15,2
Wales,WAL,10,MF,RAMSEY Aaron,Aaron James,RAMSEY,RAMSEY,1990-12-26,OGC Nice,FRA,178,75,20
Wales,WAL,11,FW,BALE Gareth,Gareth Frank,BALE,BALE,1989-07-16,Los Angeles FC,USA,186,108,40
Wales,WAL,12,GK,WARD Danny,Daniel,WARD,WARD,1993-06-22,Leicester City FC,ENG,191,26,0
Wales,WAL,13,FW,MOORE Kieffer,Kieffer Roberto Francisco,MOORE,MOORE,1992-08-08,Bournemouth AFC,ENG,196,28,9
Wales,WAL,14,DF,ROBERTS Connor,Connor Richard John,ROBERTS,ROBERTS,1995-09-23,Burnley FC,ENG,175,41,3
Wales,WAL,15,DF,AMPADU Ethan,Ethan Kwame Colm Raymond,AMPADU,AMPADU,2000-09-14,Spezia Calcio,ITA,183,37,0
Wales,WAL,16,MF,MORRELL Joe,Joseff John,MORRELL,MORRELL,1997-03-01,Portsmouth FC,ENG,185,30,0
Wales,WAL,17,DF,LOCKYER Tom,Thomas Alun,LOCKYER,LOCKYER,1994-03-12,Luton Town FC,ENG,185,14,0
Wales,WAL,18,MF,WILLIAMS Jonny,Jonathan Peter,WILLIAMS,J WILLIAMS,1993-09-10,Swindon Town FC,ENG,168,33,2
Wales,WAL,19,FW,HARRIS Mark,Thomas Mark,HARRIS,HARRIS,1998-12-29,Cardiff City FC,WAL,182,5,0
Wales,WAL,20,FW,JAMES Daniel,Daniel Owen,JAMES,JAMES,1997-10-11,Fulham FC,ENG,171,38,5
Wales,WAL,21,GK,DAVIES Adam,Adam Rhys,DAVIES,A DAVIES,1992-07-17,Sheô€‚¨eld United FC,ENG,185,4,0
Wales,WAL,22,MF,THOMAS Sorba,Benjamin Sorba William,THOMAS,THOMAS,1999-01-25,Huddersfield Town FC,ENG,185,6,0
Wales,WAL,23,MF,LEVITT Dylan,Dylan James Christopher,LEVITT,LEVITT,2000-11-17,Dundee United FC,SCO,180,13,0
Wales,WAL,24,DF,CABANGO Ben,Benjamin George,CABANGO,CABANGO,2000-05-30,Swansea City AFC,WAL,186,5,0
Wales,WAL,25,DF,COLWILL Rubin,Rubin James,COLWILL,COLWILL,2002-04-27,Cardiff City FC,WAL,169,7,1
Wales,WAL,26,MF,SMITH Matt,Matthew Robert,SMITH,SMITH,1999-11-22,MK Dons FC,ENG,175,19,0
